Model,Dataset,MSE,RMSE,MAE,MAPE
MLP,train,17.30606460571289,4.1600558416580045,3.1509411334991455,2857038.2
MLP,val,17.661725997924805,4.202585632432111,3.283402681350708,1076153.8
MLP,test,18.63371467590332,4.316678662571876,3.422089099884033,1506810.2
KAN,train,28.384674072265625,5.327726914197614,4.031471252441406,4184142.5
KAN,val,35.425926208496094,5.951968263397924,4.615206718444824,1610310.4
KAN,test,39.90363693237305,6.316932557212642,4.9501237869262695,2317131.5
RNN,train,21.36515235900879,4.622245380657413,3.749683141708374,1945185.0
RNN,val,30.731979370117188,5.543643149600918,4.575466156005859,809359.94
RNN,test,39.0444450378418,6.248555436086152,5.191390037536621,1744348.0
LSTM,train,15.372076988220215,3.9207240387739883,3.157738447189331,2282792.0
LSTM,val,19.574329376220703,4.424288572891771,3.608252763748169,1120860.5
LSTM,test,22.665573120117188,4.760837438950966,3.917757511138916,1537084.9
GRU,train,14.26968765258789,3.777524010855244,3.0340559482574463,2458873.8
GRU,val,14.697537422180176,3.8337367439849306,3.133167028427124,1068292.2
GRU,test,17.869606018066406,4.227245677514664,3.487872838973999,1527568.2
Transformer,train,49.567386627197266,7.040410970049779,5.667040824890137,5492653.0
Transformer,val,56.228240966796875,7.4985492574762,6.0670599937438965,1888894.5
Transformer,test,62.074745178222656,7.878752767933682,6.441935062408447,1894173.6
